person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,games_played_flag,position,draft_year,draft_round,draft_num,birth_date,height_feet,height_inches,height,weight,season_exp,jersey,school,country,last_affiliation
1916,"Booth, Calvin",Calvin Booth,f,1999,2008,calvin_booth,Y,Center,1999,2,,,6,11,6.9,230,10,52,Penn State,USA,Penn State/USA
2048,"Magloire, Jamaal",Jamaal Magloire,f,2000,2011,jamaal_magloire,Y,Center,2000,1,,,6,11,6.9,265,12,21,Kentucky,Canada,Kentucky/Canada
2063,"Voskuhl, Jake",Jake Voskuhl,f,2000,2008,jake_voskuhl,Y,Center,2000,2,,,6,11,6.9,255,9,77,Connecticut,USA,Connecticut/USA
2069,"Mottola, Hanno",Hanno Mottola,f,2000,2001,hanno_mottola,Y,Center,2000,2,,,6,11,6.9,247,1,13,Utah,Finland,Utah/Finland
2074,"Smith, Jabari",Jabari Smith,f,2000,2004,jabari_smith,Y,Center,2000,2,,,6,11,6.9,250,4,55,Louisiana State,USA,Louisiana State/USA
2198,"Brown, Kwame",Kwame Brown,f,2001,2012,kwame_brown,Y,Center,2001,1,,,6,11,6.9,290,12,54,Glynn Academy HS (GA),USA,Glynn Academy HS (GA)/USA
2264,"Jones, Alvin",Alvin Jones,f,2001,2002,alvin_jones,Y,Center,2001,2,,,6,11,6.9,265,1,42,Georgia Tech,USA,Georgia Tech/USA
2403,Nene,Nene,t,2002,2018,nene_hilario,Y,Center,2002,1,,,6,11,6.9,250,16,42,"Sao Carlos, Brazil",Brazil,Vasco de Gama/Brazil
2407,"Jeffries, Jared",Jared Jeffries,f,2002,2012,jared_jeffries,Y,Forward,2002,1,,,6,11,6.9,240,11,1,Indiana,USA,Indiana/USA
2425,"Archibald, Robert",Robert Archibald,f,2002,2003,robert_archibald,Y,Forward,2002,2,,,6,11,6.9,250,2,34,Illinois,Scotland,Illinois ''02/Scotland
2429,"Gadzuric, Dan",Dan Gadzuric,f,2002,2011,dan_gadzuric,Y,Center,2002,2,,,6,11,6.9,240,10,50,UCLA,Netherlands,UCLA/Netherlands
2441,"Sampson, Jamal",Jamal Sampson,f,2002,2006,jamal_sampson,Y,Forward,2002,2,,,6,11,6.9,235,5,7,California,USA,California/USA
